"Name","Long","Lat","Description"
"Ahmedabad","72.5797068","23.0216238","Visit during college years"
"Alappuzha","76.333482","9.4980001","Family Visit"
"Amsterdam","4.8936041","52.3727598","Visited during the DAAD-WISE project in 2023"
"Bengaluru","77.590082","12.9767936","Family visit"
"Berlin","13.3888599","52.5170365","Visited during the DAAD-WISE project in 2023"
"Bern","7.4514512","46.9482713","Visited during the DAAD-WISE project in 2023"
"Bonn","7.10066","50.735851","Visited during the DAAD-WISE project in 2023"
"Chemnitz","12.9252977","50.8322608","Visited during the DAAD-WISE project in 2023"
"Cologne","6.959974","50.938361","Visited during the DAAD-WISE project in 2023"
"Dresden","13.7381437","51.0493286","Visited during the DAAD-WISE project in 2023"
"Dusseldorf","6.7763137","51.2254018","Visited during the DAAD-WISE project in 2023"
"Erfurt","11.0287364","50.9777974","Visited during the DAAD-WISE project in 2023"
"Ernakulam","76.2741457","9.98408","Family Visit"
"Frankfurt","8.6820917","50.1106444","Visited during the DAAD-WISE project in 2023"
"Giethoorn","6.077431","52.741105","Visited during the DAAD-WISE project in 2023"
"Göttingen","9.9351811","51.5328328","Visited during the DAAD-WISE project in 2023"
"Grindelwald","8.0367462","46.6242733","Visited during the DAAD-WISE project in 2023"
"Hamburg","10.000654","53.550341","Visited during the DAAD-WISE project in 2023"
"Heidelberg","8.694724","49.4093582","Visited during the DAAD-WISE project in 2023"
"Hubli","75.1379848","15.3518378","Family Visit"
"Interlaken","7.8585139","46.6855231","Visited during the DAAD-WISE project in 2023"
"Jena","11.5879359","50.9281717","Visited during the DAAD-WISE project in 2023"
"Lauterbrunnen","7.9078016","46.5939043","Visited during the DAAD-WISE project in 2023"
"Leipzig","12.3747329","51.3406321","Visited during the DAAD-WISE project in 2023"
"Lindau","9.682050671","47.54574555","2024 Lindau Nobel Laureates Meeting visit"
"Lübeck","10.684738","53.866444","Visited during the DAAD-WISE project in 2023"
"Mahabaleshwar","73.6553","17.9307","Visit during college years"
"Mainau","9.194512844","47.7052926","2024 Lindau Nobel Laureates Meeting visit"
"Mangaluru","74.8430082","12.8698101","Family visit"
"Mantralayam","77.3747","15.9349","Family visit"
"Mumbai","72.878176","19.0785451","Visited during DAAD-WISE project in 2023"
"Munich","11.5753822","48.1371079","Visited during the DAAD-WISE project in 2023"
"Münster","7.6251879","51.9625101","Visited during the DAAD-WISE project in 2023"
"Mysuru","76.6553609","12.3051828","Family Visit"
"New Delhi","77.2090057","28.6138954","2024 Lindau Nobel Laureates Meeting visit"
"Prague","14.4212535","50.0874654","Visited during the DAAD-WISE project in 2023"
"Pune","73.8544541","18.521428","Visit during college years"
"Salzburg","13.0464806","47.7981346","Visited during the DAAD-WISE project in 2023"
"Surat","72.8317058","21.2094892","College"
"Thrissur","76.2132542","10.5256264","Family Visit"
"Tirupati","79.4231711","13.6316368","Family Visit"
"Tumakuru","77.1006208","13.3400771","Family Visit"
"Udupi","74.7473232","13.3419169","Family visit"
"Vadodara","73.1942567","22.2973142","Visit during college years"
